team,elo_rating
Libya,1539.718046457919
Benin,1536.0094476561615
Gabon,1535.909810787256
Panjab,1533.4548833614451
Maule Sur,1530.4968829087939
Cascadia,1530.1320479924016
Brittany,1529.6698852385643
Malaysia,1528.0567939015955
New Caledonia,1527.3822304051766
Zanzibar,1527.3265492251633
Canary Islands,1524.940994928561
Menorca,1523.3380495628
Montenegro,1522.7373522188725
Guinea,1521.7913920954336
Biafra,1517.501375217319
Asturias,1517.4358728782763
Chameria,1516.473157886452
Vietnam,1515.9932303476921
Silesia,1515.569333583023
Surrey,1514.396191123889
Parishes of Jersey,1514.3127495383958
Trinidad and Tobago,1512.1196834475593
Bahrain,1510.2024475798678
Elba Island,1510.1750937123886
Felvidék,1509.4374881926644
Donetsk PR,1508.1334074943077
Quebec,1507.9041852109756
Crimea,1507.4937041426429
Uganda,1506.8250279340741
Madagascar,1504.9355333955414
Kazakhstan,1504.1935834418814
Franconia,1502.3948911741618
Central Spain,1501.3702570681064
Mapuche,1500.736306793522
Matabeleland,1499.9473921602314
Zambia,1498.147437789359
United Koreans in Japan,1497.7886544370224
Gambia,1497.3803176569752
Saugeais,1497.1481541747726
Délvidék,1496.1889727264852
Sealand,1493.5070086885087
Guadeloupe,1492.6588529620103
Indonesia,1490.6682731598023
Tahiti,1490.0931015711674
Madrid,1489.353994603907
Kuwait,1488.8634328023636
South Ossetia,1488.5451838036497
Western Armenia,1486.9377643343212
Luhansk PR,1485.161271659391
Cilento,1485.0480207810992
Mozambique,1484.5220004562677
Åland Islands,1484.068228941024
Ryūkyū,1483.7549103300646
Yoruba Nation,1483.2980107797066
Somaliland,1483.0957256480935
Seborga,1482.9158983377852
Shetland,1479.0645168128751
Republic of St. Pauli,1478.6725469404955
West Papua,1478.3851436147297
Hmong,1477.5292519862312
Székely Land,1476.0454823462203
Niue,1474.9819239132232
Niger,1474.708205562477
South Yemen,1473.5142536502362
North Korea,1472.6111348855916
Kabylia,1470.8572099514568
Togo,1470.5197803104427
Chechnya,1469.5626062166066
East Turkestan,1469.3914748219427
Nicaragua,1469.0122553728504
Aymara,1468.766810297684
Romani people,1467.684100797042
Kenya,1467.2697918340255
Kyrgyzstan,1467.205665572965
Faroe Islands,1466.3579704115132
El Salvador,1465.1620443293596
North Vietnam,1462.5271837588846
Gozo,1462.502930067106
Sápmi,1462.1158160348962
Monaco,1461.699884694111
Armenia,1457.9246173217305
Ticino,1457.758522450021
Dominican Republic,1457.6011087499242
Rwanda,1455.9508017675096
Luxembourg,1455.7109738526294
Palau,1455.7068051792767
Comoros,1454.7865319686898
Equatorial Guinea,1454.5386365238971
Găgăuzia,1453.6232122334834
Papua New Guinea,1452.9452710023195
Sudan,1452.6937896391892
Manchukuo,1451.8406413040454
Saarland,1450.4210897550536
Guyana,1449.7563382452017
Western Isles,1449.628988888539
Greenland,1448.8602030039879
Martinique,1448.6619220281225
Western Sahara,1447.2122810216927
Sierra Leone,1446.014837971088
Marshall Islands,1442.1467950831843
Azerbaijan,1438.335351230045
Sark,1437.570145752828
Tajikistan,1437.263376951869
Provence,1435.6522697453227
Mauritania,1435.6493310415372
Gotland,1434.0813222056483
Two Sicilies,1433.4845013313984
Fiji,1433.2836367140007
Estonia,1430.6929579359496
Vanuatu,1430.5057111138783
Lebanon,1429.8636250469924
Orkney,1429.574953858788
Barawa,1428.1076597703911
Mayotte,1426.9160411931537
Vatican City,1426.628443553338
Zimbabwe,1425.120172850811
Malawi,1421.4941574250895
Malta,1415.8119727559956
Saint Barthélemy,1415.763932054003
Cyprus,1414.9545788120336
Micronesia,1411.9147660681613
Botswana,1411.0755263075587
Vietnam Republic,1410.1273290898705
Liberia,1408.7147030318622
Western Australia,1408.146661889347
Raetia,1404.5203948944013
French Guiana,1400.3712459293272
Namibia,1400.1499970666307
Ambazonia,1397.9118200962716
Yemen DPR,1395.1843395043068
Lesotho,1393.5065779377169
Saint Pierre and Miquelon,1392.6067112063115
Saint Helena,1391.1672170934653
Turkmenistan,1390.3906160364475
Tanzania,1389.1377353597566
Latvia,1388.8654040956787
Cuba,1388.7580565202913
Ethiopia,1388.754120317541
Chagos Islands,1385.3025407935343
Hitra,1384.504256092302
Puerto Rico,1382.5814929412015
Darfur,1382.2514746101476
Burundi,1380.7857119526948
Solomon Islands,1380.0456302990565
Lithuania,1379.7394949200116
Guinea-Bissau,1364.374849552334
Saint Vincent and the Grenadines,1362.7576617894251
Central African Republic,1362.339146303544
Saare County,1359.8184513951267
Kiribati,1358.9548977044858
Hong Kong,1354.0502856096964
Wallis Islands and Futuna,1345.5826864917149
Philippines,1344.8209850208625
Bermuda,1343.9918709011574
Moldova,1343.377615182372
Congo,1342.1156764458417
Singapore,1341.9458237483655
Sint Maarten,1326.9443791799056
Grenada,1322.5687884217207
Saint Kitts and Nevis,1317.4326651456377
Eswatini,1311.470277926459
Yemen,1309.124708161486
Tibet,1308.724147651244
India,1306.094316327762
Samoa,1302.6731668092973
Belize,1302.4421701968931
South Sudan,1302.1084338516791
Tuvalu,1300.0194847741718
Falkland Islands,1291.2345782371083
Saint Martin,1285.1865203235686
Montserrat,1283.1297007005933
Saint Lucia,1281.595577304644
Frøya,1271.1092753169755
Chad,1258.327073252004
Mauritius,1252.4431978974474
Bonaire,1241.2760789160836
Afghanistan,1240.2691333130065
Aruba,1236.2911559985223
Eritrea,1226.254948820218
Cook Islands,1212.9883029266402
Myanmar,1210.388658000598
Dominica,1207.4599405746658
São Tomé and Príncipe,1205.9726026297988
Antigua and Barbuda,1203.414178586433
Bangladesh,1201.8692484134722
Andorra,1196.504208246309
Gibraltar,1186.7015171984692
Nepal,1179.8870885044698
Barbados,1178.9035841904913
Cayman Islands,1174.8949028264392
Tonga,1166.402787593082
Turks and Caicos Islands,1156.9085008661923
Taiwan,1155.2731857131648
Alderney,1145.0929970375296
Northern Mariana Islands,1126.279228016755
Cambodia,1118.499525533972
Somalia,1117.5107710767843
Djibouti,1116.2409706709116
Maldives,1111.8732710640886
Liechtenstein,1107.7156638023746
American Samoa,1102.615947538537
British Virgin Islands,1099.1297943725517
Sri Lanka,1097.3875066066112
United States Virgin Islands,1091.733022243818
Mongolia,1081.8668757958394
Pakistan,1078.2563047753756
Bahamas,1076.0345470024183
Guam,1071.39121050269
Seychelles,1058.6154100023164
Laos,1050.5207469414283
Anguilla,1024.2640107704042
Brunei,1022.3315036929196
San Marino,1005.0759769952253
Bhutan,979.983026120246
Timor-Leste,964.9817975660281
Macau,959.6105230988109
